user_id,ano,mes,gasto_total,gasto_medio,gasto_std,num_transacoes,pct_essencial,num_anomalias,renda_mes,saldo_mes,pct_gasto
user_0001,2025,7,6705.160533098993,45.00107740334895,70.89757400167862,149,0.8859060402684564,5,4576.4,-2128.7605330989936,146.51605045666886
user_0001,2025,8,3859.645204617866,53.60618339747036,79.49094622442001,72,0.8472222222222222,7,33250.62686120231,29390.981656584445,11.607736662316581
user_0001,2025,9,2177.731585835607,42.70061933010994,61.432505806258604,51,0.7843137254901961,4,13555.916364800134,11378.184778964527,16.064805412125416
user_0001,2025,10,3837.8479242919952,59.966373817062426,106.13775997381522,64,0.828125,1,4233.94,396.09207570800436,90.64483493606417
user_0001,2025,11,2594.4611145461595,46.32966275975285,104.20531626145508,56,0.875,6,2454.73,-139.73111454615946,105.69232113292131
user_0002,2025,7,12418.868220352624,83.91127175913935,236.54560054052163,148,0.8648648648648649,8,3490.49,-8928.378220352624,355.79154274479015
user_0002,2025,8,4444.0599681757785,63.48657097393969,64.38859478061043,70,0.8428571428571429,3,3855.05,-589.0099681757783,115.27891903284726
user_0002,2025,9,7344.101035313081,122.4016839218847,186.89670553039252,60,0.8166666666666667,4,4255.85,-3088.251035313081,172.56484686521097
user_0002,2025,10,7981.092571000498,133.01820951667497,356.6195122071036,60,0.9,3,3525.13,-4455.9625710004975,226.40562393445057
user_0002,2025,11,3234.928990656209,53.915483177603484,59.23697936421888,60,0.9,2,2950.66,-284.2689906562091,109.63408154976206
user_0003,2025,7,6082.413517301397,47.89301982127085,94.1201133118208,127,0.8661417322834646,7,2662.37,-3420.0435173013975,228.4586108355111
user_0003,2025,8,1967.5332497245763,30.26974230345502,40.02589912012157,65,0.8769230769230769,2,2499.76,532.2267502754239,78.70888604204308
user_0003,2025,9,2730.6874832907665,39.00982118986809,54.89097197789963,70,0.8428571428571429,4,2540.57,-190.11748329076636,107.48326097256782
user_0003,2025,10,3214.7856442923567,58.450648078042846,79.77145620055452,55,0.8,3,2720.55,-494.2356442923565,118.16675467432529
user_0003,2025,11,3372.879999020397,55.29311473803929,92.16124804502738,61,0.8360655737704918,2,19855.596881364632,16482.716882344233,16.98704913870404
user_0004,2025,7,6680.804007941464,51.78917835613538,101.97226106243964,129,0.8604651162790697,6,2692.84,-3987.964007941464,248.0950969215202
user_0004,2025,8,3452.866346382203,56.604366334134475,107.00905785554993,61,0.8360655737704918,1,2856.31,-596.5563463822032,120.88556026419413
